"Cidade","Rede","Série","Disciplina","Matriculados na Série","Taxa de Participação (%)","Percentual Insuficiente (%)","Percentual Básico (%)","Percentual Proficiente (%)","Percentual Avançado (%)","Percentual Aprendizado Adequado (%)","Crescimento entre 2011 e 2013 (pp*)"
"Carrapateira","Municipal","5º ano","Português","38","100","28.75","48.42","20.46","2.37","22.83","-6.59"
"Casserengue","Municipal","5º ano","Português","143","95.09999999999999","29.66","33.76","24.89","11.69","36.57","9.85"
"Catingueira","Municipal","5º ano","Português","50","84","37.42","54.79","5.19","2.6","7.8","-13.65"
"Catolé Do Rocha","Municipal","5º ano","Português","194","92.27","24.62","44.26","24","7.12","31.13","3.07"
"Caturité","Municipal","5º ano","Português","55","90.91","37.92","37.02","20.79","4.27","25.04","13.55"
"Conceição","Municipal","5º ano","Português","71","84.51000000000001","55.09","39.93","3.31","1.67","4.98","-4.76"
"Condado","Municipal","5º ano","Português","71","94.37","38.01","37.8","21.27","2.92","24.18","-9.25"
"Conde","Municipal","5º ano","Português","312","80.13","40.08","40.86","14.97","4.09","19.06","-7.67"
"Congo","Municipal","5º ano","Português","118","84.75","23","49.91","23.09","4","27.1","-1.75"
"Coremas","Municipal","5º ano","Português","53","98.11","44.27","47.92","7.81","0","7.81","-5.33"
"Cruz Do Espírito Santo","Municipal","5º ano","Português","94","80.84999999999999","42.79","38.31","17.55","1.35","18.89","8.92"
"Cubati","Municipal","5º ano","Português","145","95.17","34.94","45.23","16.99","2.84","19.82","-6.52"
"Cuité","Municipal","5º ano","Português","125","86.40000000000001","35.15","48.07","14.93","1.85","16.78","-7.56"
"Cuité De Mamanguape","Municipal","5º ano","Português","92","95.65000000000001","58.6","28.72","11.64","1.04","12.68","-9.56"
"Cuitegi","Municipal","5º ano","Português","31","70.97","40.91","59.09","0","0","0","-12.83"
"Curral De Cima","Municipal","5º ano","Português","45","95.56","18.68","51.18","23.19","6.95","30.14","10.4"
"Curral Velho","Municipal","5º ano","Português","Sem dados*","Sem dados*","Sem dados*","Sem dados*","Sem dados*","Sem dados*","Sem dados*","Sem dados*"
"Damião","Municipal","5º ano","Português","74","95.95","30.32","43.3","23.68","2.7","26.38","7.87"
"Desterro","Municipal","5º ano","Português","87","89.66","60.24","33.56","6.2","0","6.2","-3.97"
"Diamante","Municipal","5º ano","Português","45","80","65.27","27.11","7.62","0","7.62","2.15"
"Dona Inês","Municipal","5º ano","Português","89","95.51000000000001","24.92","32.96","38.62","3.5","42.12","29.88"
"Duas Estradas","Municipal","5º ano","Português","45","86.67","33.33","45.86","20.81","0","20.81","17.87"
"Emas","Municipal","5º ano","Português","65","67.69","30.03","54.41","11.16","4.4","15.56","9.32"
"Esperança","Municipal","5º ano","Português","313","89.14","29.53","36.75","24.73","8.99","33.71","0.33"
"Fagundes","Municipal","5º ano","Português","58","98.28","19.55","63.28","17.17","0","17.17","0.7"
"Frei Martinho","Municipal","5º ano","Português","27","88.89","24.99","41.69","24.99","8.33","33.32","0"
"Gado Bravo","Municipal","5º ano","Português","70","91.43000000000001","58","32.54","6.3","3.16","9.449999999999999","1.58"
"Guarabira","Municipal","5º ano","Português","239","82.43000000000001","33.41","45.79","16.62","4.18","20.8","5.93"
"Gurinhém","Municipal","5º ano","Português","Sem dados de participação*","Sem dados de participação*","57.47","35.85","5.52","1.16","6.68","2.18"
"Gurjão","Municipal","5º ano","Português","58","87.93000000000001","34.31","49.13","12.2","4.36","16.56","-2.19"
"Ibiara","Municipal","5º ano","Português","40","90","64.06","13.47","19.47","3","22.49","11.24"
"Igaracy","Municipal","5º ano","Português","44","93.18000000000001","35.84","51.4","7.52","5.24","12.77","6.1"
